가차, 91, 145
다자, 90, 171
차하, 43, 146
자타, 77, 154
다나, 99, 193
사가, 81, 172
차자, 68, 143
다사, 73, 189
다나, 70, 158
카차, 71, 163
사라, 62, 154
라가, 42, 167
라라, 70, 156
아마, 55, 173
카자, 91, 164
하마, 89, 151
하카, 55, 167
마파, 87, 179
마카, 45, 145
파파, 49, 140
자하, 87, 158
사사, 72, 182
자나, 71, 140
하타, 40, 148
가라, 86, 144
가아, 62, 158
카사, 52, 153
카파, 81, 145
바가, 81, 152
가사, 63, 158
바차, 49, 176
차차, 71, 148
라자, 46, 198
나타, 65, 177
하라, 64, 183
라다, 76, 185
가아, 99, 149
마다, 69, 199
자카, 95, 149
사다, 76, 195
가아, 59, 172
나마, 69, 198
사라, 63, 145
마가, 96, 164
가바, 70, 175
아카, 70, 172
다마, 40, 177
마라, 89, 163
자자, 93, 146
마가, 61, 191
하자, 54, 141
나파, 68, 145
카타, 67, 182
차라, 79, 144
하가, 86, 184
다파, 66, 146
가타, 60, 162
파가, 81, 188
자파, 61, 163
다카, 80, 140
차바, 84, 150
라사, 75, 175
타마, 63, 196
사가, 62, 185
바하, 67, 173
하아, 72, 169
아차, 66, 159
카라, 78, 191
마하, 47, 149
바마, 94, 192
바라, 77, 158
라하, 40, 175
라자, 48, 196
아바, 96, 185
차자, 87, 196
나바, 67, 176
다하, 47, 161
바나, 63, 144
차바, 67, 163
가자, 69, 186
사바, 92, 189
다카, 40, 180
사다, 89, 190
아가, 42, 195
차차, 71, 175
자하, 95, 142
자다, 56, 180
사하, 83, 153
자사, 53, 186
자다, 73, 198
하파, 41, 191
차가, 43, 197
사나, 89, 145
라아, 72, 193
바마, 92, 192
하나, 42, 177
자바, 64, 152
카차, 51, 167
바마, 87, 158
가나, 55, 196
자파, 88, 198
라차, 91, 148
나카, 59, 194
파파, 87, 161
다하, 72, 158
파라, 44, 191
바자, 46, 198
라타, 61, 189
파하, 72, 166
카나, 53, 194
카마, 96, 141
사나, 51, 144
아차, 53, 186
카라, 98, 146
나마, 49, 159
다마, 69, 189
나라, 57, 194
나가, 63, 173
차바, 88, 148
차마, 42, 199
차라, 94, 196
라파, 66, 177
사라, 94, 194
라라, 45, 169
사차, 52, 181
나바, 71, 184
아나, 83, 182
타자, 94, 155
아바, 59, 163
다카, 76, 149
라타, 70, 193
하마, 50, 156
바카, 57, 143
라타, 68, 190
파사, 50, 179
나마, 70, 148
자나, 73, 192
하아, 83, 152
마자, 91, 199
바라, 45, 199
차하, 54, 194
하카, 97, 194
차카, 61, 150
아마, 64, 177
라바, 51, 192
다가, 53, 178
바바, 83, 175
사파, 50, 183
아사, 41, 163
자타, 58, 187
파파, 62, 174
가마, 68, 140
사타, 88, 187
바라, 57, 145
나자, 43, 187
차하, 47, 177
타바, 67, 159
사아, 59, 151
나하, 96, 191
타카, 89, 170
타차, 58, 148
카자, 55, 164
다차, 94, 152
마나, 52, 149
라사, 97, 179
가아, 54, 165
사차, 52, 191
하타, 66, 161
타아, 70, 144
파파, 44, 140
라라, 86, 170
타사, 71, 140
파아, 78, 149
차마, 53, 179
나파, 41, 179
파차, 97, 186
나파, 92, 164
파라, 88, 187
파나, 86, 172
다타, 95, 159
나아, 54, 183
타다, 71, 184
나다, 64, 178
사자, 42, 185
카자, 63, 185
자가, 99, 151
카마, 86, 195
바파, 94, 163
가하, 63, 176
가하, 90, 164
차다, 41, 162
자차, 51, 174
사아, 91, 166
아카, 53, 182
라하, 65, 141
사타, 86, 164
다타, 40, 186
하아, 54, 172
아마, 65, 199
파다, 44, 198
차카, 48, 189
카차, 77, 144
사아, 68, 173
바바, 71, 195
자타, 64, 184
나차, 49, 185
카카, 90, 149
사파, 44, 154
타파, 89, 199
차바, 46, 173
바다, 66, 153
나사, 82, 162
라아, 63, 142
카나, 56, 141
파타, 66, 160
차사, 95, 188
타가, 59, 177
가자, 40, 155
사타, 77, 161
사타, 64, 177
가아, 62, 164
차라, 40, 174
라파, 52, 196
바차, 55, 168
아파, 73, 148
라하, 60, 183
마타, 88, 172
마파, 58, 185
사마, 84, 178
카카, 79, 181
아다, 51, 149
다다, 87, 174
차다, 71, 149
파나, 76, 173
마차, 63, 183
나타, 58, 195
마다, 82, 199
사나, 62, 193
마나, 46, 165
사바, 54, 183
마차, 50, 147
카바, 74, 165
파다, 57, 144
라차, 44, 143
사사, 79, 189
바바, 48, 177
타하, 76, 164
가타, 64, 197
타라, 99, 176
바사, 96, 146
타아, 89, 153
아파, 41, 151
카아, 97, 146
차나, 52, 176
나가, 65, 151
가카, 84, 147
파나, 72, 182
카카, 52, 163
사라, 76, 189
자사, 72, 166
카다, 74, 174
타사, 88, 175
바타, 99, 199
아차, 68, 148
라가, 85, 174
타타, 83, 141
라타, 62, 167
타아, 53, 186
바바, 59, 162
라라, 42, 162
카아, 45, 142
나카, 92, 196
바카, 56, 167
바아, 40, 155
차파, 78, 186
나가, 75, 199
아나, 91, 183
아마, 66, 148
사사, 48, 142
파타, 96, 199
아사, 95, 184
자타, 56, 158
타파, 94, 146
다마, 68, 193
마파, 86, 167
다파, 91, 183
타사, 74, 173
아파, 85, 143
다차, 51, 158
자차, 53, 191
라라, 74, 181
자다, 42, 186
자사, 61, 183
아가, 96, 191
파차, 46, 182
파카, 55, 199
가카, 52, 196
라파, 58, 193
가마, 54, 173
사아, 56, 144
바나, 93, 190
아가, 96, 168
나타, 49, 162
라차, 52, 186
아라, 63, 192
사사, 68, 140
하하, 85, 195
가라, 42, 183
차자, 79, 146
나하, 41, 141
하자, 61, 141
마라, 41, 147
다타, 96, 166
아카, 57, 196
라차, 40, 157
바바, 72, 196
다자, 46, 184
파마, 92, 156
파라, 94, 183
마파, 83, 158
라파, 83, 156
가하, 84, 181
가타, 98, 141
가가, 52, 141
가다, 83, 177
차나, 91, 187
마바, 87, 184
사아, 59, 162
바마, 91, 191
하사, 89, 175
하다, 74, 173
마차, 57, 146
나카, 82, 169
파가, 68, 162
가카, 70, 174
다마, 67, 170
다가, 73, 140
가타, 95, 187
자라, 97, 172
하아, 47, 178
바타, 52, 166
바하, 74, 143
하사, 91, 187
바나, 87, 180
파사, 90, 184
사사, 95, 189
가타, 70, 147
가다, 84, 176
파나, 54, 151
타타, 79, 158
차가, 62, 189
자하, 82, 183
하라, 56, 149
라나, 89, 199
라사, 84, 197
타라, 54, 185
아카, 53, 147
아아, 48, 148
사자, 77, 149
가타, 95, 155
사파, 48, 157
차나, 90, 175
다아, 75, 181
아타, 83, 184
가하, 76, 150
하카, 43, 176
다마, 83, 147
마다, 84, 149
하나, 96, 198
다사, 45, 153
파아, 75, 182
다사, 53, 174
파라, 95, 189
하자, 92, 151
카차, 54, 144
아나, 42, 182
파차, 42, 152
차바, 92, 179
자라, 77, 169
다하, 79, 168
나하, 61, 168
라파, 91, 149
차다, 54, 176
파차, 85, 189
라라, 74, 165
차하, 57, 156
하라, 55, 183
아마, 73, 177
차파, 99, 189
파아, 88, 198
타라, 50, 156
자라, 69, 195
사아, 54, 145
가가, 65, 176
가파, 70, 145
자하, 96, 189
나타, 85, 186
다라, 94, 143
라마, 64, 171
하차, 87, 148
파자, 71, 197
나라, 51, 146
가바, 44, 165
차라, 97, 144
나마, 88, 173
마카, 40, 166
라다, 68, 141
타마, 74, 189
가사, 83, 170
나나, 47, 141
차자, 42, 187
바라, 86, 156
자라, 93, 183
아하, 45, 148
하나, 66, 143
카마, 98, 184
차마, 57, 167
라하, 96, 191
파타, 44, 170
마바, 47, 182
차마, 65, 146
나바, 84, 176
마자, 61, 186
마자, 42, 170
타타, 53, 186
사라, 76, 183
마가, 53, 166
사카, 68, 171
차파, 89, 191
자바, 84, 162
카마, 45, 157
바사, 90, 196
파자, 79, 162
자라, 74, 159
타바, 76, 191
자사, 44, 140
타타, 83, 168
바자, 92, 141
파마, 61, 140
하자, 50, 191
바하, 96, 140
마사, 79, 180
타자, 51, 198
타마, 53, 197
타타, 98, 149
타카, 94, 174
하바, 89, 142
다가, 86, 158
라카, 67, 175
가사, 65, 189
자타, 71, 199
타나, 60, 196
바마, 84, 184
아사, 87, 157
아하, 51, 141
카나, 41, 160
타아, 63, 160
마사, 66, 196
타사, 56, 156
나사, 42, 153
가라, 73, 164
자가, 48, 182
아가, 47, 145
나사, 51, 197
라가, 57, 164
타사, 50, 169
파아, 87, 169
가타, 64, 167
하가, 51, 188
하나, 70, 151
하나, 98, 199
파라, 45, 176
하가, 88, 142
아라, 40, 154
마나, 84, 197
나다, 88, 168
아바, 58, 140
마라, 93, 192
바하, 56, 177
하다, 63, 167
바차, 53, 144
파라, 45, 177
아파, 59, 173
자타, 75, 199
하자, 62, 182
라하, 41, 176
바차, 98, 178
자사, 51, 142
차카, 93, 164
라바, 92, 161
아차, 59, 172
사바, 47, 162
사바, 68, 175
차바, 52, 181
아아, 67, 166
카차, 82, 187
가파, 47, 198
사라, 53, 157
가다, 96, 174
카가, 97, 198
나파, 95, 150
사파, 85, 187
바자, 54, 147
가하, 50, 143
파나, 91, 160
마가, 89, 170
타나, 63, 186
하다, 47, 176
하다, 74, 181
타차, 63, 142
타마, 76, 165
가하, 82, 197
하다, 76, 152
라사, 60, 168
타마, 86, 151
바카, 41, 141
아라, 85, 172
하하, 89, 193
카아, 85, 154
카다, 67, 144
다나, 45, 175
마마, 55, 190
다다, 96, 154
차마, 51, 170
파가, 89, 178
자아, 42, 144
가라, 77, 152
바카, 54, 158
가라, 44, 153
차아, 84, 163
바카, 90, 175
사나, 90, 175
아파, 57, 180
타라, 87, 159
나다, 42, 197
하라, 93, 156
자사, 50, 188
타카, 83, 170
바하, 50, 145
마마, 42, 148
나하, 66, 150
아차, 41, 180
타파, 68, 144
사마, 96, 174
라자, 74, 199
파타, 89, 174
라아, 62, 151
나타, 44, 184
카자, 51, 172
사나, 57, 152
카다, 48, 149
나바, 88, 190
하하, 50, 192
다자, 50, 160
하아, 53, 196
차아, 47, 143
나타, 41, 192
가차, 40, 176
마바, 44, 181
타차, 79, 156
다카, 72, 172
마가, 84, 162
타다, 95, 157
파하, 78, 199
하사, 42, 164
파타, 83, 191
바자, 43, 152
파차, 53, 194
라사, 98, 164
바아, 86, 198
타하, 99, 172
사타, 86, 146
가마, 46, 192
파카, 92, 175
타가, 52, 183
파자, 89, 142
사라, 81, 179
마카, 43, 160
다다, 56, 153
자다, 53, 164
차다, 57, 172
마타, 78, 166
나바, 87, 190
타타, 41, 193
라마, 89, 164
사나, 99, 163
사라, 54, 197
카카, 44, 198
나하, 45, 184
아타, 84, 196
나파, 50, 152
타가, 81, 180
바타, 74, 193
마카, 84, 168
나가, 83, 185
다마, 91, 147
차라, 60, 158
파하, 62, 194
사가, 58, 190
차차, 50, 150
파바, 58, 149
나하, 92, 194
카타, 56, 182
타파, 60, 166
나가, 40, 179
아하, 76, 154
다가, 78, 140
다사, 64, 192
마사, 78, 175
타나, 50, 166
카하, 99, 148
마아, 89, 155
카라, 86, 142
파마, 97, 160
타바, 47, 163
타나, 73, 196
하다, 92, 174
파타, 53, 147
하다, 84, 190
가마, 98, 148
카라, 55, 180
자사, 54, 169
차아, 45, 147
카타, 89, 195
카타, 43, 185
다가, 58, 173
하차, 99, 192
사다, 77, 148
라라, 89, 174
파아, 61, 182
하다, 66, 160
다차, 83, 192
아사, 72, 140
마가, 94, 173
하가, 53, 196
라사, 96, 169
마차, 60, 184
자사, 91, 187
마파, 77, 188
나사, 62, 159
나파, 51, 183
타라, 50, 157
카하, 43, 159
바마, 49, 195
다자, 77, 185
나라, 93, 189
하자, 87, 181
차다, 65, 189
아하, 42, 188
라아, 48, 162
차아, 70, 189
차마, 89, 162
다타, 72, 192
사사, 44, 167
사나, 41, 183
하사, 71, 169
타바, 61, 163
자자, 85, 181
가다, 85, 148
파나, 49, 146
다마, 79, 151
마하, 42, 189
라아, 88, 163
나나, 99, 178
나차, 93, 196
라카, 78, 192
마차, 47, 169
다라, 40, 169
가자, 41, 150
다다, 50, 178
카라, 84, 164
나라, 69, 195
라나, 70, 169
아다, 83, 146
자라, 80, 197
아나, 93, 153
카바, 78, 155
자하, 42, 147
가하, 75, 164
나나, 83, 149
차차, 53, 192
카다, 84, 172
아라, 93, 149
차바, 51, 183
타라, 62, 178
라바, 41, 169
라자, 82, 164
바사, 51, 198
자파, 84, 187
아사, 79, 191
다하, 57, 163
다사, 53, 189
하자, 49, 152
차다, 62, 178
타하, 83, 193
차파, 89, 169
하다, 63, 191
파차, 72, 152
라나, 91, 156
사타, 57, 171
라마, 92, 198
카라, 72, 182
하나, 97, 183
사카, 40, 193
라마, 52, 159
가가, 84, 169
사가, 80, 163
하차, 76, 154
자타, 96, 157
나마, 43, 187
라나, 42, 164
하카, 81, 185
자라, 51, 184
자사, 87, 177
다마, 49, 168
자바, 65, 149
아가, 68, 175
다아, 79, 171
타파, 89, 147
타마, 97, 152
카파, 74, 176
라다, 92, 149
가타, 40, 170
나사, 82, 157
나카, 64, 174
차가, 90, 179
라다, 89, 177
마마, 43, 146
라가, 74, 170
라가, 45, 147
차타, 59, 157
바자, 60, 178
다타, 75, 187
카파, 96, 155
타아, 83, 199
